Genome Name,Accession,BRC ID,Refseq Locus Tag,Alt Locus Tag,Gene,Product,Annotation,Pathway Name,EC Description
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.429,,,,"ATP synthase delta chain (EC 3.6.3.14)",PATRIC,"Photosynthesis","H(+)-transporting two-sector ATPase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.432,,,,"ATP synthase beta chain (EC 3.6.3.14)",PATRIC,"Photosynthesis","H(+)-transporting two-sector ATPase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.467,,,,"3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35) / Enoyl CoA hydratase (EC 4.2.1.17)",PATRIC,"Tryptophan metabolism","3-hydroxyacyl-CoA dehydrogenase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.497,,,,"Lysophospholipase (EC 3.1.1.5); Monoglyceride lipase (EC 3.1.1.23)",PATRIC,"Glycerolipid metabolism","Acylglycerol lipase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.520,,,,"D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)",PATRIC,"Glycine, serine and threonine metabolism","Phosphoglycerate dehydrogenase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.553,,,,"Indoleacetamide hydrolase (EC 3.5.1.-)",PATRIC,"Glutathione metabolism","In linear amides"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.573,,,,"3-fumarylpyruvate hydrolase (EC 3.7.1.20)",PATRIC,"Tyrosine metabolism","3-fumarylpyruvate hydrolase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.584,,,,"Leader peptidase (Prepilin peptidase) (EC 3.4.23.43) / N-methyltransferase (EC 2.1.1.-)",PATRIC,"Flavonoid biosynthesis","Methyltransferases"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.618,,,,"3-hydroxybutyrate dehydrogenase (EC 1.1.1.30)",PATRIC,"Butanoate metabolism","3-hydroxybutyrate dehydrogenase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.619,,,,"Enoyl-CoA hydratase (EC 4.2.1.17)",PATRIC,"Limonene and pinene degradation","Enoyl-CoA hydratase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.633,,,,"Glutamate-1-semialdehyde 2,1-aminomutase (EC 5.4.3.8)",PATRIC,"Porphyrin and chlorophyll metabolism","Glutamate-1-semialdehyde 2,1-aminomutase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.646,,,,"Aspartate aminotransferase (EC 2.6.1.1)",PATRIC,"Alanine, aspartate and glutamate metabolism","Aspartate transaminase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.663,,,,"UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase (EC 6.3.2.-)",PATRIC,"Biosynthesis of siderophore group nonribosomal peptides","Acid--amino-acid ligases (peptide synthases)"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.667,,,,"Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14)",PATRIC,"Fatty acid biosynthesis","Biotin carboxylase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.716,,,,"Serine hydroxymethyltransferase (EC 2.1.2.1)",PATRIC,"Cyanoamino acid metabolism","Glycine hydroxymethyltransferase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.791,,,,"Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19)",PATRIC,"Nicotinate and nicotinamide metabolism","Nicotinate-nucleotide diphosphorylase (carboxylating)"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.795,,,,"Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)",PATRIC,"Fatty acid biosynthesis","Enoyl-[acyl-carrier-protein] reductase (NADH)"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.798,,,,"FIG005121: SAM-dependent methyltransferase (EC 2.1.1.-)",PATRIC,"Phenylpropanoid biosynthesis","Methyltransferases"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.860,,,,"Gamma-glutamyltranspeptidase (EC 2.3.2.2) @ Glutathione hydrolase (EC 3.4.19.13)",PATRIC,"Cyanoamino acid metabolism","Gamma-glutamyltransferase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.867,,,,"Dihydroxy-acid dehydratase (EC 4.2.1.9)",PATRIC,"Valine, leucine and isoleucine biosynthesis","Dihydroxy-acid dehydratase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.945,,,,"3-(3-hydroxyphenyl)propanoate hydroxylase (EC 1.14.13.127)",PATRIC,"Phenylalanine metabolism","3-(3-hydroxy-phenyl)propanoic acid hydroxylase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.954,,,,"Glycerate kinase (EC 2.7.1.31)",PATRIC,"Glycine, serine and threonine metabolism","Glycerate 3-kinase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.955,,,,"Pyruvate kinase (EC 2.7.1.40)",PATRIC,"Carbon fixation in photosynthetic organisms","Pyruvate kinase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.966,,,,"Enoyl-CoA hydratase (EC 4.2.1.17)",PATRIC,"Butanoate metabolism","Enoyl-CoA hydratase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.967,,,,"Fumarate hydratase class I, aerobic (EC 4.2.1.2)",PATRIC,"Citrate cycle (TCA cycle)","Fumarate hydratase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.989,,,,"Enoyl-CoA hydratase (EC 4.2.1.17)",PATRIC,"Caprolactam degradation","Enoyl-CoA hydratase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.995,,,,"2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)",PATRIC,"Folate biosynthesis","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1019,,,,"Aminobutyraldehyde dehydrogenase (EC 1.2.1.19)",PATRIC,"beta-Alanine metabolism","Aminobutyraldehyde dehydrogenase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1020,,,,"Nitrilotriacetate monooxygenase component B (EC 1.14.13.-)",PATRIC,"Naphthalene and anthracene degradation","With NADH or NADPH as one donor, and incorporation of one atom of oxygen"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1028,,,,"Probable ferredoxin subunit of a ring-hydroxylating dioxygenase oxidoreductase protein (EC 1.-.-.-)",PATRIC,"Isoquinoline alkaloid biosynthesis","Oxidoreductases"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1042,,,,"Dolichol-phosphate mannosyltransferase (EC 2.4.1.83) in lipid-linked oligosaccharide synthesis cluster",PATRIC,"N-Glycan biosynthesis","Dolichyl-phosphate beta-D-mannosyltransferase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1057,,,,"Flavodoxin reductases (ferredoxin-NADPH reductases) family 1; Vanillate O-demethylase oxidoreductase (EC 1.14.13.-)",PATRIC,"Biosynthesis of type II polyketide products","With NADH or NADPH as one donor, and incorporation of one atom of oxygen"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1114,,,,"Branched-chain amino acid aminotransferase (EC 2.6.1.42)",PATRIC,"Valine, leucine and isoleucine biosynthesis","Branched-chain-amino-acid transaminase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1128,,,,"ADP-ribose pyrophosphatase of COG1058 family (EC 3.6.1.13)",PATRIC,"Purine metabolism","ADP-ribose diphosphatase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1143,,,,"Transcriptional regulator, GntR family domain / Aspartate aminotransferase (EC 2.6.1.1)",PATRIC,"Isoquinoline alkaloid biosynthesis","Aspartate transaminase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1167,,,,"Putative periplasmic cytochrome type-C oxidoreductase signal peptide protein (EC 1.-.-.-)",PATRIC,"Isoquinoline alkaloid biosynthesis","Oxidoreductases"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1168,,,,"Putative periplasmic cytochrome type-C oxidoreductase signal peptide protein (EC 1.-.-.-)",PATRIC,"Porphyrin and chlorophyll metabolism","Oxidoreductases"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1209,,,,"Cytosine deaminase (EC 3.5.4.1)",PATRIC,"Arginine and proline metabolism","Cytosine deaminase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1225,,,,"Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)",PATRIC,"Purine metabolism","Polyribonucleotide nucleotidyltransferase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1234,,,,"Plant-induced nitrilase (EC 3.5.5.1), hydrolyses beta-cyano-L-alanine",PATRIC,"1,4-Dichlorobenzene degradation","Nitrilase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1320,,,,"NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3)",PATRIC,"Nitrogen metabolism","NADH:ubiquinone reductase (H(+)-translocating)"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1325,,,,"NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3)",PATRIC,"Nitrogen metabolism","NADH:ubiquinone reductase (H(+)-translocating)"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1329,,,,"NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)",PATRIC,"Nitrogen metabolism","NADH:ubiquinone reductase (H(+)-translocating)"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1363,,,,"Phospholipase C (EC 3.1.4.3)",PATRIC,"Inositol phosphate metabolism","Phospholipase C"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1383,,,,"Tryptophan synthase alpha chain (EC 4.2.1.20)",PATRIC,"Phenylalanine, tyrosine and tryptophan biosynthesis","Tryptophan synthase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1384,,,,"Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)",PATRIC,"Tetracycline biosynthesis","Acetyl-CoA carboxylase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1396,,,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)",PATRIC,"Fatty acid biosynthesis","Beta-ketoacyl-[acyl-carrier-protein] synthase III"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1421,,,,"DNA polymerase III chi subunit (EC 2.7.7.7)",PATRIC,"Purine metabolism","DNA-directed DNA polymerase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1435,,,,"Acetyl-CoA synthetase (EC 6.2.1.1)",PATRIC,"Pyruvate metabolism","Acetate--CoA ligase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1443,,,,"Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit A (EC 2.8.3.5)",PATRIC,"Butanoate metabolism","3-oxoacid CoA-transferase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1444,,,,"Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit B (EC 2.8.3.5)",PATRIC,"Synthesis and degradation of ketone bodies","3-oxoacid CoA-transferase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1467,,,,"Acetyl-CoA synthetase (EC 6.2.1.1)",PATRIC,"Reductive carboxylate cycle (CO2 fixation)","Acetate--CoA ligase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1479,,,,"Methylisocitrate lyase (EC 4.1.3.30)",PATRIC,"Propanoate metabolism","Methylisocitrate lyase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1480,,,,"Malate dehydrogenase (EC 1.1.1.37)",PATRIC,"Methane metabolism","Malate dehydrogenase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1484,,,,"Succinate dehydrogenase flavoprotein subunit (EC 1.3.5.1)",PATRIC,"Oxidative phosphorylation","Succinate dehydrogenase (quinone)"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1487,,,,"Citrate synthase (si) (EC 2.3.3.1)",PATRIC,"Glyoxylate and dicarboxylate metabolism","Citrate (Si)-synthase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1496,,,,"1-aminocyclopropane-1-carboxylate deaminase (EC 3.5.99.7)",PATRIC,"Propanoate metabolism","1-aminocyclopropane-1-carboxylate deaminase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1498,,,,"2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)",PATRIC,"Citrate cycle (TCA cycle)","Oxoglutarate dehydrogenase (succinyl-transferring)"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1508,,,,"Tryptophanyl-tRNA synthetase (EC 6.1.1.2)",PATRIC,"Aminoacyl-tRNA biosynthesis","Tryptophan--tRNA ligase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1516,,,,"Acetoacetyl-CoA reductase (EC 1.1.1.36)",PATRIC,"Glyoxylate and dicarboxylate metabolism","Acetoacetyl-CoA reductase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1543,,,,"Probable poly(beta-D-mannuronate) O-acetylase (EC 2.3.1.-)",PATRIC,"Tyrosine metabolism","Transferring groups other than amino-acyl groups"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1559,,,,"Chorismate mutase I (EC 5.4.99.5) / Prephenate dehydratase (EC 4.2.1.51)",PATRIC,"Phenylalanine, tyrosine and tryptophan biosynthesis","Prephenate dehydratase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1561,,,,"Cyclohexadienyl dehydrogenase (EC 1.3.1.12)(EC 1.3.1.43)",PATRIC,"Phenylalanine, tyrosine and tryptophan biosynthesis","Arogenate dehydrogenase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1569,,,,"D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase (EC 2.7.7.70) / D-glycero-beta-D-manno-heptose-7-phosphate kinase (EC 2.7.1.167)",PATRIC,"Lipopolysaccharide biosynthesis","D-glycero-beta-D-manno-heptose-7-phosphate kinase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1572,,,,"Cysteine synthase B (EC 2.5.1.47)",PATRIC,"Cysteine and methionine metabolism","Cysteine synthase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1592,,,,"Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4)",PATRIC,"Purine metabolism","Sulfate adenylyltransferase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1605,,,,"1,2-phenylacetyl-CoA epoxidase, subunit C (EC 1.14.13.149)",PATRIC,"Phenylalanine metabolism","Phenylacetyl-CoA 1,2-epoxidase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1606,,,,"1,2-phenylacetyl-CoA epoxidase, subunit D (EC 1.14.13.149)",PATRIC,"Phenylalanine metabolism","Phenylacetyl-CoA 1,2-epoxidase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1607,,,,"1,2-phenylacetyl-CoA epoxidase, subunit E (EC 1.14.13.149)",PATRIC,"Phenylalanine metabolism","Phenylacetyl-CoA 1,2-epoxidase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1608,,,,"Aldehyde dehydrogenase (EC 1.2.1.3), PaaZ",PATRIC,"Glycolysis / Gluconeogenesis","Aldehyde dehydrogenase (NAD(+))"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1615,,,,"Tryptophan 2,3-dioxygenase (EC 1.13.11.11)",PATRIC,"Tryptophan metabolism","Tryptophan 2,3-dioxygenase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1621,,,,"Maleylacetoacetate isomerase (EC 5.2.1.2) @ Glutathione S-transferase, zeta (EC 2.5.1.18)",PATRIC,"Styrene degradation","Maleylacetoacetate isomerase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1650,,,,"L-serine dehydratase, beta subunit (EC 4.3.1.17) / L-serine dehydratase, alpha subunit (EC 4.3.1.17)",PATRIC,"Glycine, serine and threonine metabolism","L-serine ammonia-lyase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1670,,,,"1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)",PATRIC,"Thiamine metabolism","1-deoxy-D-xylulose-5-phosphate synthase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1740,,,,"Membrane alanine aminopeptidase N (EC 3.4.11.2)",PATRIC,"Glutathione metabolism","Membrane alanyl aminopeptidase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1745,,,,"D-Lactate dehydrogenase, cytochrome c-dependent (EC 1.1.2.4)",PATRIC,"Pyruvate metabolism","D-lactate dehydrogenase (cytochrome)"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1880,,,,"Ferredoxin-dependent glutamate synthase (EC 1.4.7.1)",PATRIC,"Nitrogen metabolism","Glutamate synthase (ferredoxin)"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1888,,,,"O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) @ O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)",PATRIC,"Cysteine and methionine metabolism","O-acetylhomoserine aminocarboxypropyltransferase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1897,,,,"Argininosuccinate synthase (EC 6.3.4.5)",PATRIC,"Arginine and proline metabolism","Argininosuccinate synthase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1900,,,,"Carboxymuconolactone decarboxylase (EC 4.1.1.44)",PATRIC,"Benzoate degradation via hydroxylation","4-carboxymuconolactone decarboxylase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1932,,,,"Ribose-5-phosphate isomerase A (EC 5.3.1.6)",PATRIC,"Carbon fixation in photosynthetic organisms","Ribose-5-phosphate isomerase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1934,,,,"Phospholipase C (EC 3.1.4.3)",PATRIC,"Ether lipid metabolism","Phospholipase C"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.1935,,,,"Phospholipase C (EC 3.1.4.3)",PATRIC,"Glycerophospholipid metabolism","Phospholipase C"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.2048,,,,"Phenylacetaldehyde dehydrogenase (EC 1.2.1.39)",PATRIC,"Phenylalanine metabolism","Phenylacetaldehyde dehydrogenase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.2097,,,,"Nucleoside diphosphate kinase (EC 2.7.4.6)",PATRIC,"Pyrimidine metabolism","Nucleoside-diphosphate kinase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.2160,,,,"Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)",PATRIC,"Glycine, serine and threonine metabolism","Aspartate-semialdehyde dehydrogenase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.2164,,,,"Phosphoribosylanthranilate isomerase (EC 5.3.1.24)",PATRIC,"Phenylalanine, tyrosine and tryptophan biosynthesis","Phosphoribosylanthranilate isomerase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.2184,,,,"Aldehyde dehydrogenase (EC 1.2.1.3)",PATRIC,"Propanoate metabolism","Aldehyde dehydrogenase (NAD(+))"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.2192,,,,"dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)",PATRIC,"Polyketide sugar unit biosynthesis","dTDP-4-dehydrorhamnose reductase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.2242,,,,"Mannose-6-phosphate isomerase (EC 5.3.1.8)",PATRIC,"Fructose and mannose metabolism","Mannose-6-phosphate isomerase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.2277,,,,"DNA polymerase IV (EC 2.7.7.7)",PATRIC,"Purine metabolism","DNA-directed DNA polymerase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.2324,,,,"Pyruvate dehydrogenase E1 component (EC 1.2.4.1)",PATRIC,"Butanoate metabolism","Pyruvate dehydrogenase (acetyl-transferring)"
