(Proteins Complexes)	Common-Name	Genes of polypeptide, complex, or RNA	Locations
G1G01-3915-MONOMER	hypothetical protein	G1G01-3915	
G1G01-220-MONOMER	putative NADH:ubiquinone oxidoreductase subunit 2	G1G01-220	CCO-MEMBRANE
G1G01-4252-MONOMER	transposase	G1G01-4252	
G1G01-4597-MONOMER	cytochrome c-type biogenesis protein	G1G01-4597	CCO-MEMBRANE
G1G01-1295-MONOMER	DNA-binding stress protein	G1G01-1295	CCI-CYTOSOL-GN
G1G01-2547-MONOMER	membrane protein	G1G01-2547	CCI-PM-BAC-NEG-GN
G1G01-2889-MONOMER	hypothetical protein	G1G01-2889	
G1G01-4950-MONOMER	5-methyltetrahydropteroyltriglutamate- homocysteine S-methyltransferase family protein	G1G01-4950	CCI-CYTOSOL-GN
G1G01-1634-MONOMER	hypothetical protein	G1G01-1634	CCI-CYTOSOL-GN
G1G01-5299-MONOMER	hypothetical protein	G1G01-5299	
G1G01-3225-MONOMER	hypothetical protein	G1G01-3225	
CPLX1G01-196	electron transfer flavoprotein	G1G01-4471 // G1G01-4470	
G1G01-3561-MONOMER	hypothetical protein	G1G01-3561	CCO-MEMBRANE
G1G01-564-MONOMER	riboflavin synthase	G1G01-564	CCI-CYTOSOL-GN
G1G01-778-MONOMER	RNA polymerase ECF-16 &sigma; factor	G1G01-778	CCI-CYTOSOL-GN
G1G01-39-MONOMER	porin P	G1G01-39	CCI-OUTER-MEM-GN
G1G01-2186-MONOMER	alcohol dehydrogenase	G1G01-2186	CCI-CYTOSOL-GN
G1G01-4236-MONOMER	hypothetical protein	G1G01-4236	CCI-PM-BAC-NEG-GN
G1G01-1277-MONOMER	hypothetical protein	G1G01-1277	
G1G01-2532-MONOMER	leucine-rich repeat-containing protein	G1G01-2532	CCI-EXTRACELLULAR-GN
G1G01-4585-MONOMER	AsnC family transcriptional regulator	G1G01-4585	CCI-CYTOSOL-GN
G1G01-2874-MONOMER	putative Dipeptidase	G1G01-2874	
G1G01-4935-MONOMER	alpha/beta family hydrolase	G1G01-4935	
G1G01-162-MONOMER	pyridine nucleotide transhydrogenase &beta; subunit	G1G01-162	CCI-PM-BAC-NEG-GN
G1G01-5284-MONOMER	hypothetical protein	G1G01-5284	CCO-MEMBRANE
G1G01-3210-MONOMER	hypothetical protein	G1G01-3210	
G1G01-3546-MONOMER	chaperone-associated ATPase	G1G01-3546	CCI-CYTOSOL-GN
G1G01-5625-MONOMER	cytochrome c5	G1G01-5625	
G1G01-762-MONOMER	GTPase Obg	G1G01-762	CCI-CYTOSOL-GN
G1G01-3885-MONOMER	oxidoreductase	G1G01-3885	CCI-PERI-BAC-GN
G1G01-2171-MONOMER	benzoate transport protein	G1G01-2171	CCI-PM-BAC-NEG-GN
G1G01-4221-MONOMER	hypothetical protein	G1G01-4221	
G1G01-1262-MONOMER	hypothetical protein	G1G01-1262	
G1G01-2518-MONOMER	two-component system response regulator	G1G01-2518	CCI-CYTOSOL-GN
G1G01-4570-MONOMER	hypothetical protein	G1G01-4570	CCI-OUTER-MEM-GN
G1G01-286-MONOMER	sensor histidine kinase	G1G01-286	CCI-PM-BAC-NEG-GN
G1G01-4920-MONOMER	RNA polymerase ECF-2 &sigma; factor	G1G01-4920	CCI-CYTOSOL-GN
G1G01-1605-MONOMER	hypothetical protein	G1G01-1605	
G1G01-3196-MONOMER	hypothetical protein	G1G01-3196	
G1G01-5272-MONOMER	LysR family transcriptional regulator	G1G01-5272	CCI-CYTOSOL-GN
G1G01-3531-MONOMER	RND transporter membrane fusion protein	G1G01-3531	CCI-PM-BAC-NEG-GN
G1G01-5610-MONOMER	arylesterase	G1G01-5610	CCI-CYTOSOL-GN
G1G01-3870-MONOMER	LysR family transcriptional regulator	G1G01-3870	CCI-CYTOSOL-GN
G1G01-2156-MONOMER	hypothetical protein	G1G01-2156	
G1G01-4206-MONOMER	maleamate amidohydrolase	G1G01-4206	
G1G01-1247-MONOMER	LysR family transcriptional regulator	G1G01-1247	CCI-CYTOSOL-GN
G1G01-2502-MONOMER	6-carboxytetrahydropterin synthase QueD	G1G01-2502	CCI-CYTOSOL-GN
G1G01-4556-MONOMER	xanthine dehydrogenase subunit XdhA	G1G01-4556	CCI-CYTOSOL-GN
G1G01-2845-MONOMER	two-component system sensor histidine kinase/response regulator	G1G01-2845	CCI-PM-BAC-NEG-GN
G1G01-4905-MONOMER	cyclic pyranopterin monophosphate synthase	G1G01-4905	CCI-CYTOSOL-GN
G1G01-1591-MONOMER	lipoprotein	G1G01-1591	
G1G01-3181-MONOMER	2-dehydropantoate 2-reductase	G1G01-3181	CCI-CYTOSOL-GN
G1G01-5257-MONOMER	DNA topoisomerase IV subunit B	G1G01-5257	CCI-CYTOSOL-GN
G1G01-3517-MONOMER	hypothetical protein	G1G01-3517	
G1G01-5596-MONOMER	two-component system response regulator	G1G01-5596	CCI-CYTOSOL-GN
G1G01-5593-MONOMER	hypothetical protein	G1G01-5593	
G1G01-3853-MONOMER	hypothetical protein	G1G01-3853	
G1G01-2139-MONOMER	hypothetical protein	G1G01-2139	
G1G01-732-MONOMER	S-methyl-L-methionine transporter	G1G01-732	CCI-PM-BAC-NEG-GN
G1G01-419-MONOMER	AsnC family transcriptional regulator	G1G01-419	CCI-CYTOSOL-GN
G1G01-1224-MONOMER	hypothetical protein	G1G01-1224	CCI-CYTOSOL-GN
G1G01-2486-MONOMER	2-dehydropantoate 2-reductase	G1G01-2486	CCI-CYTOSOL-GN
G1G01-4536-MONOMER	cytochrome biogenesis protein	G1G01-4536	CCI-PM-BAC-NEG-GN
G1G01-2828-MONOMER	universal stress protein family protein	G1G01-2828	CCI-CYTOSOL-GN
G1G01-4889-MONOMER	amidotransferase	G1G01-4889	CCI-CYTOSOL-GN
G1G01-1574-MONOMER	polyamine ABC transporter permease	G1G01-1574	CCI-PM-BAC-NEG-GN
CPLX1G01-73	3-oxoacid CoA-transferase	G1G01-3339 // G1G01-3338	
G1G01-3164-MONOMER	hypothetical protein	G1G01-3164	CCI-CYTOSOL-GN
G1G01-524-MONOMER	30S ribosomal protein S11	G1G01-524	CCI-RIBOSOME-GN // CCI-CYTOSOL-GN
CPLX1G01-57	ABC-type protoheme IX transporter	G1G01-4604 // G1G01-4605	
G1G01-350-MONOMER	methyl-accepting chemotaxis transducer	G1G01-350	CCI-PM-BAC-NEG-GN
G1G01-5578-MONOMER	diaminopimelate decarboxylase	G1G01-5578	CCI-CYTOSOL-GN
CPLX1G01-38	2-deoxy-D-ribose dehydrogenase	G1G01-3859 // G1G01-3860	
G1G01-3839-MONOMER	2,5-dioxovalerate dehydrogenase	G1G01-3839	CCI-CYTOSOL-GN
G1G01-2120-MONOMER	aspartate-semialdehyde dehydrogenase	G1G01-2120	CCI-CYTOSOL-GN
CPLX1G01-23	ABC-type glutathione transporter	G1G01-4741 // G1G01-4743	
G1G01-717-MONOMER	hypothetical protein	G1G01-717	
G1G01-4174-MONOMER	hypothetical protein	G1G01-4174	
CPLX1G01-204	RND family multidrug transporter	G1G01-980 // G1G01-981	
G1G01-2470-MONOMER	hypothetical protein	G1G01-2470	CCI-PM-BAC-NEG-GN
G1G01-4521-MONOMER	Pyrimidine/purine nucleoside phosphorylase	G1G01-4521	
CPLX1G01-188	MdtABC-OpmB pyoverdine efflux system	G1G01-3819 // G1G01-3820 // G1G01-3821 // G1G01-3822	
G1G01-2813-MONOMER	endoglucanase	G1G01-2813	CCI-PM-BAC-NEG-GN
G1G01-4873-MONOMER	isocitrate dehydrogenase kinase/phosphatase	G1G01-4873	CCI-CYTOSOL-GN
CPLX1G01-17	ABC-type urea transporter	G1G01-5184 // G1G01-5182 // G1G01-5183	
G1G01-156-MONOMER	hypothetical protein	G1G01-156	
G1G01-3148-MONOMER	copper utilization transcriptional regulator	G1G01-3148	CCI-CYTOSOL-GN
CPLX1G01-154		G1G01-1371 // G1G01-1368 // G1G01-1369 // G1G01-1372 // G1G01-1370	
G1G01-5224-MONOMER	iron ABC transporter permease	G1G01-5224	CCI-PM-BAC-NEG-GN
G1G01-3486-MONOMER	DNA ligase D	G1G01-3486	CCI-CYTOSOL-GN
CPLX1G01-14	ABC-type branched-chain amino acid transporter	G1G01-1218 // G1G01-1217	
G1G01-5561-MONOMER	iron-sulfur-binding oxidoreductase	G1G01-5561	CCI-CYTOSOL-GN
G1G01-3824-MONOMER	2-Cys peroxiredoxin	G1G01-3824	CCI-PERI-BAC-GN
CPLX1G01-121	peroxiredoxin/alkylhydroperoxide reductase	G1G01-2607 // G1G01-2606	
G1G01-2100-MONOMER	EmrB/QacA family drug resistance transporter	G1G01-2100	CCI-PM-BAC-NEG-GN
G1G01-701-MONOMER	transposase	G1G01-701	CCI-CYTOSOL-GN
CPLX1G01-106	tryptophan synthase	G1G01-87 // G1G01-86	
G1G01-416-MONOMER	coenzyme PQQ synthesis protein F	G1G01-416	CCI-PERI-BAC-GN
G1G01-2455-MONOMER	antirestriction protein	G1G01-2455	
CPLX-8177	gallate dioxygenase	G1G01-2702	
G1G01-4507-MONOMER	protein disulfide isomerase	G1G01-4507	CCI-PERI-BAC-GN
G1G01-2799-MONOMER	hypothetical protein	G1G01-2799	CCI-CYTOSOL-GN
CPLX1G01-85	arginine/ornithine antiporter	G1G01-1076 // G1G01-1075	
G1G01-1199-MONOMER	OmpA family protein	G1G01-1199	CCI-OUTER-MEM-GN
G1G01-4859-MONOMER	alpha/beta family hydrolase	G1G01-4859	CCI-CYTOSOL-GN
CPLX1G01-70	formate dehydrogenase 1	G1G01-539 // G1G01-538 // G1G01-536	
G1G01-1545-MONOMER	NUDIX hydrolase	G1G01-1545	CCI-CYTOSOL-GN
G1G01-3132-MONOMER	LysR family transcriptional regulator	G1G01-3132	
CPLX1G01-51	beta-ketoacyl synthase	G1G01-2961 // G1G01-2959	
G1G01-5206-MONOMER	high-affinity branched-chain amino acid ABC transporter permease BraD	G1G01-5206	CCI-PM-BAC-NEG-GN
G1G01-3471-MONOMER	bile acid/Na+ symporter family transporter	G1G01-3471	CCI-PM-BAC-NEG-GN
CPLX1G01-35	ABC-type amino acid transporter	G1G01-5085 // G1G01-5084 // G1G01-5083	
G1G01-1893-MONOMER	acylneuraminate cytidylyltransferase	G1G01-1893	CCI-CYTOSOL-GN
G1G01-5546-MONOMER	proline aminopeptidase P II	G1G01-5546	CCI-CYTOSOL-GN
CPLX1G01-217	catalase	G1G01-528	
G1G01-381-MONOMER	hypothetical protein	G1G01-381	CCI-CYTOSOL-GN
G1G01-2085-MONOMER	hypothetical protein	G1G01-2085	CCI-CYTOSOL-GN
CPLX1G01-201	RND family transporter CzcA5/Mtrc2	G1G01-1608 // G1G01-1607	
G1G01-682-MONOMER	chaperone protein ClpB	G1G01-682	CCI-CYTOSOL-GN
G1G01-4145-MONOMER	holin	G1G01-4145	
CPLX1G01-184		G1G01-4516 // G1G01-4489 // G1G01-4488 // G1G01-4490	
G1G01-2440-MONOMER	tail tubular protein B	G1G01-2440	CCI-EXTRACELLULAR-GN
G1G01-4493-MONOMER	sensor histidine kinase	G1G01-4493	CCI-PM-BAC-NEG-GN
CPLX1G01-167	<em>N</em><small><sup>6</sup></small>-<small>L</small>-threonylcarbamoyladenine synthase complex	G1G01-5240 // G1G01-427 // G1G01-1598	
G1G01-2784-MONOMER	4-carboxy-2-hydroxymuconate-6-semialdehyde dehydrogenase	G1G01-2784	
G1G01-1184-MONOMER	synthetase	G1G01-1184	CCI-CYTOSOL-GN
CPLX1G01-151	aldehyde dehydrogenase	G1G01-2662	
G1G01-4844-MONOMER	membrane protein	G1G01-4844	CCI-PM-BAC-NEG-GN
G1G01-1530-MONOMER	heavy metal response regulator	G1G01-1530	CCI-CYTOSOL-GN
CPLX1G01-137	phenylalanine--tRNA ligase	G1G01-2641 // G1G01-2640	
G1G01-3118-MONOMER	YoeB-YefM toxin-antitoxin system antitoxin/DNA-binding transcriptional repressor	G1G01-3118	
G1G01-5192-MONOMER	AraC family transcriptional regulator	G1G01-5192	CCI-CYTOSOL-GN
G1G01-3457-MONOMER	HSP20 family heat shock protein	G1G01-3457	CCI-CYTOSOL-GN
G1G01-1878-MONOMER	bifunctional mannose-6-phosphate isomerase/mannose-1-phosphate guanylyltransferase	G1G01-1878	CCI-CYTOSOL-GN
CPLX1G01-103	NADP-dependent dihydropyrimidine dehydrogenase	G1G01-4303 // G1G01-4302	
G1G01-5531-MONOMER	amino acid N-acetyltransferase	G1G01-5531	CCI-CYTOSOL-GN
G1G01-3796-MONOMER	glycine betaine ABC transporter permease	G1G01-3796	CCI-PM-BAC-NEG-GN
CPLX1G01-99	glycolate oxidase	G1G01-4000 // G1G01-3999 // G1G01-3998	
G1G01-2070-MONOMER	benzaldehyde dehydrogenase	G1G01-2070	CCI-CYTOSOL-GN
G1G01-668-MONOMER	type IV pili biogenesis protein PilE	G1G01-668	CCO-MEMBRANE
CPLX1G01-82		G1G01-609	
G1G01-4130-MONOMER	tail tube protein	G1G01-4130	CCI-CYTOSOL-GN
G1G01-2426-MONOMER	hypothetical protein	G1G01-2426	
CPLX1G01-68	quinohemoprotein amine dehydrogenase	G1G01-3696 // G1G01-3694 // G1G01-3693	
G1G01-4479-MONOMER	ABC-type pyoverdine exporter ATP-binding/permease component	G1G01-4479	CCI-PM-BAC-NEG-GN
G1G01-277-MONOMER	hypothetical protein	G1G01-277	CCI-PM-BAC-NEG-GN
CPLX1G01-49	cytochrome <i>aa<sub>3</sub></i> terminal oxidase	G1G01-107 // G1G01-108 // G1G01-109 // G1G01-110	
G1G01-1169-MONOMER	electron transport complex protein	G1G01-1169	CCI-PM-BAC-NEG-GN
G1G01-4826-MONOMER	agmatinase	G1G01-4826	CCI-CYTOSOL-GN
CPLX1G01-32	ABC-type amino acid transporter	G1G01-5368 // G1G01-5367	
G1G01-1516-MONOMER	DUF339 domain-containing protein	G1G01-1516	CCI-CYTOSOL-GN
G1G01-3103-MONOMER	malate:quinone oxidoreductase	G1G01-3103	
CPLX1G01-214	organoarsenical oxygenase ArsH2	G1G01-2896	
G1G01-5178-MONOMER	copper receptor OprC	G1G01-5178	CCI-OUTER-MEM-GN
G1G01-3442-MONOMER	ABC transporter ATP-binding protein	G1G01-3442	CCI-PM-BAC-NEG-GN
CPLX1G01-2	ABC-type D-ribose transporter	G1G01-2939 // G1G01-2941 // G1G01-2942	
G1G01-1862-MONOMER	phosphodiesterase domain-containing diguanylate cyclase	G1G01-1862	CCI-PM-BAC-NEG-GN
G1G01-5585-MONOMER	NtrB activator	G1G01-5585	CCI-PM-BAC-NEG-GN
G1G01-5516-MONOMER	sulfate ABC transporter substrate-binding protein	G1G01-5516	CCI-PERI-BAC-GN
CPLX1G01-180	ABC-type exporter for LapF protein	G1G01-880 // G1G01-879 // G1G01-878	
G1G01-3781-MONOMER	GntR family transcriptional regulator	G1G01-3781	CCI-CYTOSOL-GN
G1G01-2056-MONOMER	membrane protein	G1G01-2056	CCI-PM-BAC-NEG-GN
CPLX1G01-164	superoxide dismutase	G1G01-1020 // G1G01-989	
G1G01-65-MONOMER	3-methyl-adenine DNA glycosylase I	G1G01-65	CCO-MEMBRANE
G1G01-4116-MONOMER	hypothetical protein	G1G01-4116	
CPLX1G01-149		G1G01-5781	
G1G01-994-MONOMER	xenobiotic reductase B	G1G01-994	CCI-CYTOSOL-GN
G1G01-2409-MONOMER	sugar ABC transporter permease	G1G01-2409	CCI-PM-BAC-NEG-GN
CPLX1G01-133	pyruvate carboxylase	G1G01-5703 // G1G01-5702	
G1G01-4464-MONOMER	putative oxidoreductase	G1G01-4464	
G1G01-2754-MONOMER	hypothetical protein	G1G01-2754	CCI-CYTOSOL-GN
CPLX1G01-116		G1G01-4681	
G1G01-1154-MONOMER	monothiol glutaredoxin	G1G01-1154	
G1G01-4811-MONOMER	AraC family transcriptional regulator	G1G01-4811	CCI-CYTOSOL-GN
CPLX1G01-100	PTS fructose transporter	G1G01-869 // G1G01-867	
G1G01-1501-MONOMER	hypothetical protein	G1G01-1501	
G1G01-309-MONOMER	L-lysine ABC transporter substrate-binding subunit	G1G01-309	CCI-PERI-BAC-GN
CPLX1G01-96	sulfate adenylyltransferase	G1G01-1391 // G1G01-1390	
G1G01-5163-MONOMER	hypothetical protein	G1G01-5163	
G1G01-3427-MONOMER	fumarylacetoacetate hydrolase family protein	G1G01-3427	CCI-CYTOSOL-GN
CPLX1G01-8	ABC-type D-mannose/D-glucose transporter	G1G01-1090 // G1G01-1091 // G1G01-1089	
G1G01-1848-MONOMER	hypothetical protein	G1G01-1848	CCI-CYTOSOL-GN
G1G01-5501-MONOMER	hypothetical protein	G1G01-5501	
CPLX1G01-64	ABC-type D-ribose transporter	G1G01-2940 // G1G01-2626 // G1G01-2625	
G1G01-3766-MONOMER	S-ureidoglycine aminohydrolase	G1G01-3766	CCI-CYTOSOL-GN
G1G01-2041-MONOMER	phosphotyrosine-protein phosphatase	G1G01-2041	
CPLX1G01-46	ABC-type histidine lysine/arginine/ornithine transporter	G1G01-4786 // G1G01-4785 // G1G01-4784	
G1G01-634-MONOMER	methyl-accepting chemotaxis transducer	G1G01-634	CCI-PM-BAC-NEG-GN
G1G01-4101-MONOMER	MerR family transcriptional regulator	G1G01-4101	CCI-CYTOSOL-GN
CPLX1G01-3	ABC-type lipopolysaccharide transporter	G1G01-1880 // G1G01-1881	
G1G01-98-MONOMER	5'-nucleotidase	G1G01-98	CCI-CYTOSOL-GN
G1G01-2395-MONOMER	methyl-accepting chemotaxis protein PctB	G1G01-2395	CCI-PM-BAC-NEG-GN
CPLX1G01-211	arsenite/antimonite resistance transcriptional regulator ArsR1	G1G01-2045	
G1G01-4447-MONOMER	hypothetical protein	G1G01-4447	CCI-CYTOSOL-GN
G1G01-2739-MONOMER	chromate transporter	G1G01-2739	CCI-PM-BAC-NEG-GN
CPLX1G01-197	ferric citrate outer membrane transport complex	G1G01-4922 // G1G01-5665 // G1G01-5663 // G1G01-5664	
G1G01-114-MONOMER	membrane protein	G1G01-114	CCI-PM-BAC-NEG-GN
G1G01-4796-MONOMER	(<i>R</i>)-2-hydroxyglutarate dehydrogenase	G1G01-4796	CCI-CYTOSOL-GN
CPLX1G01-178	integration host factor	G1G01-1875 // G1G01-2642	
G1G01-1487-MONOMER	hypothetical protein	G1G01-1487	
G1G01-3075-MONOMER	hypothetical protein	G1G01-3075	
CPLX1G01-160	cyanide insensitive cytochrome c terminal oxidase	G1G01-4963 // G1G01-4964	
G1G01-5149-MONOMER	3-methyladenine DNA glycosylase	G1G01-5149	CCI-CYTOSOL-GN
G1G01-3412-MONOMER	threonine ammonia-lyase/dehydratase	G1G01-3412	CCI-CYTOSOL-GN
CPLX1G01-146		G1G01-5783	
G1G01-1833-MONOMER	cell division topological specificity factor	G1G01-1833	CCI-CYTOSOL-GN
G1G01-5488-MONOMER	membrane protein	G1G01-5488	CCI-PM-BAC-NEG-GN
CPLX1G01-13	ABC-type branched-chain amino acid transporter	G1G01-2930 // G1G01-2931	
G1G01-3751-MONOMER	5-oxoprolinase A	G1G01-3751	CCI-EXTRACELLULAR-GN
G1G01-2026-MONOMER	3-oxoacyl-ACP reductase subunit	G1G01-2026	CCI-CYTOSOL-GN
CPLX1G01-113	gluconate 2-dehydrogenase	G1G01-3615 // G1G01-3614 // G1G01-3613	
G1G01-62-MONOMER	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase	G1G01-62	CCI-CYTOSOL-GN
G1G01-4087-MONOMER	ABC-type molybdate transporter permease subunit	G1G01-4087	CCI-PM-BAC-NEG-GN
CPLX-9451	2,4,6-trinitrotoluene nitroreductase	G1G01-2665	
G1G01-965-MONOMER	hypothetical protein	G1G01-965	
G1G01-2376-MONOMER	alpha/beta family hydrolase	G1G01-2376	
CPLX1G01-91	proton-translocating pyridine nucleotide transhydrogenase	G1G01-162 // G1G01-163	
G1G01-4432-MONOMER	hypothetical protein	G1G01-4432	CCI-CYTOSOL-GN
G1G01-2724-MONOMER	conserved protein of unknown function with RHS repeat-associated core domain	G1G01-2724	
CPLX1G01-77	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase	G1G01-1006 // G1G01-1004 // G1G01-1005	
G1G01-1125-MONOMER	type II secretion pathway protein XcpW	G1G01-1125	CCO-MEMBRANE
G1G01-478-MONOMER	hypothetical protein	G1G01-478	CCO-MEMBRANE
CPLX1G01-61	dimethylglycine dehydrogenase	G1G01-344 // G1G01-343	
G1G01-1472-MONOMER	porin	G1G01-1472	CCI-PM-BAC-NEG-GN
G1G01-3060-MONOMER	TetR family transcriptional regulator	G1G01-3060	CCI-CYTOSOL-GN
CPLX1G01-42	arginine <i>N</i>-succinyltransferase	G1G01-4781 // G1G01-4780	
G1G01-5134-MONOMER	hypothetical protein	G1G01-5134	
G1G01-3398-MONOMER	glycerate kinase	G1G01-3398	CCI-CYTOSOL-GN
CPLX1G01-27	ABC-type polyamine transporter	G1G01-451 // G1G01-450 // G1G01-448	
G1G01-1819-MONOMER	EAL domain-containing diguanylate phosphodiesterase	G1G01-1819	CCI-PM-BAC-NEG-GN
G1G01-5471-MONOMER	ribosomal RNA large subunit methyltransferase I	G1G01-5471	CCI-CYTOSOL-GN
CPLX1G01-209	ArsH dimer	G1G01-2042	
